Table 1
TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgium;1,94;2,03;1,9;1,84;1,82;1,79;1,82;1,85;1,94;2;2,06;2,17;2,28;2,33;2,37;2,43;2,52;2,67;2,86;3,16;3,35;3,22
Bulgaria;0,5;0,45;0,46;0,47;0,47;0,44;0,44;0,43;0,45;0,49;0,56;0,53;0,6;0,63;0,79;0,95;0,77;0,74;0,75;0,83;0,85;0,77
Czechia;1,11;1,1;1,1;1,14;1,14;1,16;1,23;1,3;1,23;1,29;1,33;1,54;1,77;1,88;1,96;1,92;1,67;1,77;1,9;1,93;1,99;2
Denmark;2,19;2,32;2,44;2,51;2,42;2,39;2,4;2,52;2,77;3,06;2,92;2,94;2,98;2,97;2,91;3,06;3,09;2,93;2,97;2,93;2,96;2,81
Germany (until 1990 former territory of the FRG);2,41;2,4;2,44;2,47;2,44;2,44;2,47;2,46;2,62;2,74;2,73;2,81;2,88;2,84;2,88;2,93;2,94;3,05;3,11;3,17;3,13;3,13
Estonia;0,6;0,7;0,71;0,76;0,85;0,92;1,11;1,06;1,25;1,4;1,58;2,31;2,12;1,72;1,43;1,47;1,24;1,28;1,41;1,63;1,75;1,75
Ireland;1,08;1,05;1,06;1,12;1,18;1,19;1,2;1,23;1,39;1,61;1,59;1,55;1,56;1,57;1,52;1,18;1,18;1,25;1,17;1,23;1,23;1,06
Greece;:;0,56;:;0,55;0,53;0,58;0,56;0,58;0,66;0,63;0,6;0,68;0,71;0,81;0,84;0,97;1,01;1,15;1,21;1,28;1,51;1,45
Spain;0,88;0,89;0,96;1,02;1,04;1,1;1,18;1,24;1,33;1,36;1,36;1,33;1,3;1,27;1,24;1,22;1,19;1,21;1,24;1,25;1,41;1,43
France;2,09;2,14;2,17;2,12;2,09;2,05;2,05;2,02;2,06;2,21;2,18;2,19;2,23;2,24;2,23;2,23;2,22;2,2;2,2;2,19;2,3;2,21
Croatia;:;:;0,94;0,94;1,02;0,85;0,73;0,78;0,88;0,84;0,73;0,74;0,74;0,8;0,77;0,83;0,85;0,85;0,95;1,08;1,24;1,24
Italy;1;1,04;1,08;1,06;1,05;1,04;1,08;1,13;1,16;1,22;1,22;1,2;1,26;1,3;1,34;1,34;1,37;1,37;1,42;1,46;1,51;1,49
Cyprus;0,23;0,24;0,28;0,32;0,34;0,37;0,38;0,4;0,39;0,44;0,44;0,45;0,44;0,48;0,51;0,48;0,52;0,54;0,61;0,71;0,84;0,87
Latvia;0,43;0,4;0,41;0,36;0,4;0,53;0,65;0,55;0,58;0,45;0,61;0,72;0,66;0,61;0,69;0,62;0,44;0,51;0,64;0,64;0,69;0,69
Lithuania;0,59;0,67;0,66;0,66;0,75;0,75;0,79;0,8;0,79;0,83;0,78;0,9;0,89;0,95;1,03;1,04;0,84;0,9;0,94;0,99;1,14;1,11
